City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,colonia,50.9333,6.95,16.01,79,0,1.03,DE,1693514776
143,ushuaia,-54.8,-68.3,4.81,52,40,5.66,AR,1693514986
144,baglung,28.2719,83.5898,22.09,96,99,0.36,NP,1693514986
145,east london,-33.0153,27.9116,18.72,71,89,9.62,ZA,1693514943
146,dudinka,69.4058,86.1778,1.46,72,60,2.63,RU,1693514987
147,plettenberg bay,-34.0527,23.3716,12.75,86,100,7.81,ZA,1693514987
148,gornozavodsk,58.3758,58.3211,8.19,98,19,2.17,RU,1693514988
149,usinsk,65.9939,57.5281,9.58,79,10,2.49,RU,1693514993
150,fale old settlement,-9.3852,-171.2468,28.42,74,25,6.46,TK,1693514993
151,carutapera,-1.195,-46.02,27.07,72,4,5.03,BR,1693514994
152,kimbe,-5.5502,150.1429,23.72,80,100,3.54,PG,1693514995
153,ati,13.2154,18.3353,29.55,54,2,2.01,TD,1693514996
154,pisco,-13.7,-76.2167,22.03,64,20,8.23,PE,1693514996
155,kodiak,57.79,-152.4072,16.73,67,75,8.75,US,1693514919
156,walvis bay,-22.9575,14.5053,13.53,76,0,5.14,NA,1693514997
157,karatau,43.1667,70.4667,16.58,40,34,3.26,KZ,1693514997
158,arno,60.1167,18.6333,14.88,94,90,2.8,SE,1693514997
159,nova sintra,14.8667,-24.7167,24.14,85,95,7.85,CV,1693514998
160,lisala,2.15,21.5167,21.19,94,68,0.8,CD,1693514998
161,darwin,-12.4611,130.8418,20.99,88,20,0.51,AU,1693514992
162,gunjur,13.2019,-16.7339,27.04,89,40,2.57,GM,1693514999
163,saint-pierre,-21.3393,55.4781,18.82,72,0,3.6,RE,1693514999
164,ulsteinvik,62.3432,5.8487,14.62,86,20,2.24,NO,1693514999
165,thompson,55.7435,-97.8558,26.09,47,75,3.6,CA,1693514933
166,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,87,0,5.0,RU,1693514959
167,kudahuvadhoo,2.6708,72.8944,26.32,83,100,6.97,MV,1693514945
168,rio preto da eva,-2.6994,-59.6997,37.66,26,30,0.85,BR,1693515001
169,green river,41.5286,-109.4662,28.22,20,2,2.24,US,1693514927
170,afaahiti,-17.75,-149.2833,25.93,80,86,4.77,PF,1693515007
171,kargil,34.5667,76.1,13.74,43,0,2.65,IN,1693514710
172,kiruna,67.8557,20.2251,11.51,82,75,1.03,SE,1693515011
173,mil'kovo,55.6078,37.7956,19.63,68,1,3.23,RU,1693515013
174,grand-bassam,5.2118,-3.7388,24.98,92,100,2.5,CI,1693515013
175,tenno,39.9,139.9667,26.04,76,99,3.03,JP,1693515014
176,askale,39.9208,40.695,16.64,50,19,0.5,TR,1693515014
177,severo-yeniseyskiy,60.3725,93.0408,8.78,90,1,0.95,RU,1693514969
178,sebastopol,44.6,33.5333,24.44,63,100,0.45,UA,1693514783
179,ornskoldsvik,63.2909,18.7153,15.53,72,0,3.09,SE,1693515015
180,mount pearl,47.5166,-52.7813,18.51,93,100,11.32,CA,1693515017
181,banda aceh,5.5577,95.3222,26.64,76,100,6.8,ID,1693515018
182,echuca,-36.1333,144.75,6.09,92,6,3.68,AU,1693515018
183,hawaiian paradise park,19.5933,-154.9731,28.18,69,100,3.09,US,1693515019
184,ebon,4.582,168.6964,28.63,73,100,3.29,MH,1693515019
185,kondopoga,62.2057,34.2614,18.82,86,10,3.24,RU,1693515020
186,celestun,20.8667,-90.4,30.89,65,56,5.04,MX,1693515020
187,margaret river,-33.95,115.0667,15.74,88,4,3.37,AU,1693515021
188,ust'-ilimsk,58.0006,102.6619,14.08,93,99,1.54,RU,1693514965
189,katabu,-4.9333,122.5167,20.41,90,89,1.61,ID,1693515022
190,kenora,49.8167,-94.4337,24.54,60,75,7.72,CA,1693514997
191,reggane,26.7158,0.1714,38.49,15,0,2.99,DZ,1693515023
192,mulayjah,27.271,48.4242,32.3,25,0,1.92,SA,1693515023
193,priozersk,61.0393,30.1291,18.3,92,6,2.73,RU,1693515024
194,katsuura,35.1333,140.3,25.95,85,34,3.56,JP,1693515024
195,vorgashor,67.5833,63.95,8.64,73,48,2.4,RU,1693515025
196,papao,-17.75,-149.55,26.82,80,83,4.64,PF,1693515025
197,san patricio,28.017,-97.5169,37.4,25,4,3.96,US,1693515026
198,tokar,18.4254,37.729,35.28,39,1,6.12,SD,1693515026
199,thunder bay,48.4001,-89.3168,23.99,50,100,4.63,CA,1693514766
200,cuatro cienegas de carranza,26.9833,-102.0833,34.9,21,8,6.14,MX,1693515027
201,zuni pueblo,35.0725,-108.8506,33.35,15,6,3.42,US,1693515027
202,alice springs,-23.7,133.8833,3.75,75,0,0.0,AU,1693514842
203,taveta,-3.3963,37.6736,21.01,74,80,3.51,KE,1693515028
204,los serranos,33.9728,-117.7081,38.83,49,20,6.17,US,1693515029
205,mahina,-17.5065,-149.489,26.87,61,20,8.23,PF,1693515029
206,mountain home,43.133,-115.6912,26.9,19,0,3.6,US,1693515029
207,madimba,-10.4,40.3333,22.13,89,2,3.06,TZ,1693515030
208,monrovia,6.3005,-10.7969,24.91,90,96,3.21,LR,1693515030
209,axim,4.8699,-2.2405,24.41,92,39,2.87,GH,1693515031
210,brush,40.2589,-103.6238,34.89,24,0,3.6,US,1693515031
211,kavieng,-2.5744,150.7967,26.9,73,100,9.0,PG,1693515032
212,cabo san lucas,22.8909,-109.9124,33.06,68,13,4.02,MX,1693514958
213,taitung city,22.7583,121.1444,26.65,83,100,1.45,TW,1693515033
214,zhezqazghan,47.7833,67.7667,15.19,46,52,4.29,KZ,1693515033
215,codrington,-38.2667,141.9667,10.57,80,100,3.15,AU,1693515034
